Node ID,openEHR Name,EHDS Name,openEHR Description,openEHR Comment,EHDS Definition,openEHR Cardinality,openEHR Datatype,openEHR Values,EHDS Cardinality,EHDS Binding,Concept Map,openEHR Path,EHDS Path,MappingNotes
,Result,stage.summary,The result or finding that supports the assertion.,For example: '11 mm' '13 Âµg/L' '2.5 ml' or 'BRCA1 positive'. 'Result' can be coded with a terminology where appropriate.,A simple summary of the stage such as Stage 3. The determination of the stage is disease-specific.,0..1,Text,,0..1,For example codes see ConditionStage (example to http://hl7.org/fhir/ValueSet/condition-stage|4.0.1) Codes describing condition stages (e.g. Cancer stages).,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.clinical_evidence.v1'Stage']/items[at0005]/value,Condition.stage.summary,
,Clinical evidence,evidence,Details about findings that support a clinical assertion.,,Supporting evidence / manifestations that are the basis of the Condition's verification status such as evidence that confirmed or refuted the condition.,0..*,Cluster,,0..*,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.clinical_evidence.v1'Clinical evidence'],Condition.evidence,
,Result,evidence.code,The result or finding that supports the assertion.,For example: '11 mm' '13 Âµg/L' '2.5 ml' or 'BRCA1 positive'. 'Result' can be coded with a terminology where appropriate.,A manifestation or symptom that led to the recording of this condition.,0..*,Text,,0..*,For example codes see ManifestationAndSymptomCodes (example to http://hl7.org/fhir/ValueSet/manifestation-or-symptom|4.0.1) Codes that describe the manifestation or symptoms of a condition.,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.clinical_evidence.v1'Clinical evidence']/items[at0005]/value,Condition.evidence.code,
,Date/time of resolution,abatement[x]:abatementDateTime,Estimated or actual date/time of resolution or remission for this problem or diagnosis as determined by a healthcare professional.,"Partial dates are acceptable. If the subject of care is under the age of one year then the complete date or a minimum of the month and year is necessary to enable accurate age calculations - for example if used to drive decision support. Data captured/imported as Age at time of resolution should be converted to a date using the subject's date of birth.
",The date or estimated date that the condition resolved or went into remission. A â€˜vagueâ€™ date such as only the year or the month and the year is permitted,0..1,DateTime,,0..1,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[at0030]/value,Condition.abatement[x]:abatementDateTime,"In FHIR, abatement is a choice of dateTime, Age, Period, Range or string."
,Problem/Diagnosis qualifier,,Contextual or temporal qualifier for a specified problem or diagnosis.,,,0..1,Cluster,,,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.problem_qualifier.v2],,
,Active/Inactive?,clinicalStatus,Category that supports division of problems and diagnoses into Active or Inactive problem lists.,The Active/Inactive and Current/Past data elements have similar clinical impact but represent slightly different semantics. Both are actively used in different clinical settings but usually not together. If a Current/Past qualifier is recorded then this data element is likely to be redundant. An exception where a condition can be current but inactive is asthma that is not causing acute symptoms.,The problem status describes the condition of the problem:  Active problems are problems of which the patient experiences symptoms or for which evidence exists.  If condition is abated then clinicalStatus must be either inactive resolved or remission.  Problems with the status 'Inactive' refer to problems that don't affect the patient anymore or that of which there is no evidence of existence anymore.,0..1,CodedText," Active local:at0026
 Inactive local:at0027",0..1,The codes SHALL be taken from ConditionClinicalStatusCodes (required to http://hl7.org/fhir/ValueSet/condition-clinical),,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.problem_qualifier.v2]/items[at0003]/value,Condition.clinicalStatus,"Clinical status incompletely captures aspects of multiple qualifier axes related to a diagnosis: active/inactive, occurrence (first occurrence/recurrence), remission status (in remission/not in remission), resolution phase. "
,Resolution phase,clinicalStatus,Phase of healing for an acute problem or diagnosis.,For example: tracking the progress of resolution of a middle ear infection.,The problem status describes the condition of the problem:  Active problems are problems of which the patient experiences symptoms or for which evidence exists.  If condition is abated then clinicalStatus must be either inactive resolved or remission.  Problems with the status 'Inactive' refer to problems that don't affect the patient anymore or that of which there is no evidence of existence anymore.,0..1,CodedText," Resolved local:at0084
 Relapsed local:at0097",0..1,The codes SHALL be taken from ConditionClinicalStatusCodes (required to http://hl7.org/fhir/ValueSet/condition-clinical),,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.problem_qualifier.v2]/items[at0083]/value,Condition.clinicalStatus,"Clinical status incompletely captures aspects of multiple qualifier axes related to a diagnosis: active/inactive, occurrence (first occurrence/recurrence), remission status (in remission/not in remission), resolution phase."
,Remission status,clinicalStatus,Status of the remission of an incurable diagnosis.,For example: the status of a cancer or haematological diagnosis.,The problem status describes the condition of the problem:  Active problems are problems of which the patient experiences symptoms or for which evidence exists.  If condition is abated then clinicalStatus must be either inactive resolved or remission.  Problems with the status 'Inactive' refer to problems that don't affect the patient anymore or that of which there is no evidence of existence anymore.,0..1,CodedText, In remission local:at0090,0..1,The codes SHALL be taken from ConditionClinicalStatusCodes (required to http://hl7.org/fhir/ValueSet/condition-clinical),,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.problem_qualifier.v2]/items[at0089]/value,Condition.clinicalStatus,"Clinical status incompletely captures aspects of multiple qualifier axes related to a diagnosis: active/inactive, occurrence (first occurrence/recurrence), remission status (in remission/not in remission), resolution phase."
,Occurrence,clinicalStatus,Category of the occurrence for this problem or diagnosis.,This data element can be an additional qualifier to the 'New' value in the 'Episodicity' value set that is a condition such as asthma can have recurring new episodes that have periods of resolution in between. However it can be important to identify the first ever episode of asthma from all of the other episodes.,The problem status describes the condition of the problem:  Active problems are problems of which the patient experiences symptoms or for which evidence exists.  If condition is abated then clinicalStatus must be either inactive resolved or remission.  Problems with the status 'Inactive' refer to problems that don't affect the patient anymore or that of which there is no evidence of existence anymore.,0..1,CodedText, Recurrence local:at0096,0..1,The codes SHALL be taken from ConditionClinicalStatusCodes (required to http://hl7.org/fhir/ValueSet/condition-clinical),,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[openEHR-EHR-CLUSTER.problem_qualifier.v2]/items[at0071]/value,Condition.clinicalStatus,"Clinical status incompletely captures aspects of multiple qualifier axes related to a diagnosis: active/inactive, occurrence (first occurrence/recurrence), remission status (in remission/not in remission), resolution phase."
,Diagnostic certainty,verificationStatus,The level of confidence in the identification of the diagnosis.,If an alternative valueset is required these values can be added to the DV_TEXT data type in a template.,The verification status to support the clinical status of the condition.,0..1,CodedText," Suspected local:at0074
 Probable local:at0075
 Confirmed local:at0076
-Other Text/CodedText allowed",0..1,The codes SHALL be taken from ConditionVerificationStatus (required to http://hl7.org/fhir/ValueSet/condition-ver-status),,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[at0073]/value,Condition.verificationStatus,"Verification status incompletely captures aspects of multiple qualifier axes related to a diagnosis: confirmation, exclusion (refuted), diagnostic process (provisional),
clinical decision-making (differential - one of a list of candidate diagnoses generated during clinical reasoning and used to guide investigation and exclusion). Only 'Confirmed' can be safely mapped between the openEHR and FHIR valuesets at this point in time. There is no clear way of mapping 'Suspected' and 'Probable' to the FHIR values as their meaning can be interpreted and handled differently in different contexts and locations. It is also unclear what the use of ‘refuted’ means in the IPS context and how it should be handled. Differential diagnosis is covered by a different openEHR archetype - Differential diagnoses, which has not been included in the template as it is recommended that differential diagnoses should not be part of the IPS. 'Entered-in-error’ is a record-management state and should result in deletion or retraction in an EHR, not the assignment of condition verification status. For more information, see this openEHR Discourse thread: https://discourse.openehr.org/t/degree-of-certainty-vs-status-in-problem-diagnosis/11561 "
,Comment,note,Additional narrative about the problem or diagnosis not captured in other fields.,,Comment by the one who determined or updated the Problem.,0..1,Text,,0..*,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/data[at0001]/items[at0069]/value,Condition.note,Cardinality doesn't match
,FHIR Narrative,,This cluster is intended to support the recording of FHIR narrative ingested that does not have a more natural target within existing archetypes. ,,,0..1,Cluster,,,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/protocol[at0032]/items[openEHR-EHR-CLUSTER.fhir_narrative.v0],,
,Narrative,text,The narrative carried in the div element in FHIR,,Human readable specification of the problem. This is a general notes/comments entry for description of the problem its diagnosis and prognosis.,0..1,Parsable text,,0..1,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/protocol[at0032]/items[openEHR-EHR-CLUSTER.fhir_narrative.v0]/items[at0002]/value,Condition.text,
,Status,,"The status of the narrative - whether it's entirely generated (from just the defined data or the extensions too) or whether a human authored it and it may contain additional data.

",FHIR Codesystem: generated | extensions | additional | empty,,0..1,Text,,,,,/items[openEHR-EHR-EVALUATION.problem_diagnosis.v1]/protocol[at0032]/items[openEHR-EHR-CLUSTER.fhir_narrative.v0]/items[at0001]/value,,
