Node ID,openEHR Name,EPS Name,openEHR Description,openEHR Comment,EPS Definition,openEHR Cardinality,openEHR Datatype,openEHR Values,EPS Cardinality,EPS Binding,Concept Map,openEHR Path,EPS Path,MappingNotes
,Active/inactive status,clinicalStatus,Status about whether the adverse reaction risk statement is active or inactive.,,The clinical status of the allergy or intolerance.,0..1,CodedText," Active local:at0131
 Inactive local:at0132
-Other Text/CodedText allowed",0..1,The codes SHALL be taken from AllergyIntoleranceClinicalStatusCodes (required to http://hl7.org/fhir/ValueSet/allergyintolerance-clinical|4.0.1) The clinical status of the allergy or intolerance.,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[at0130]/value,AllergyIntolerance.clinicalStatus,The openEHR valueset does not include 'resolved'
,Verification status,verificationStatus,Assertion about the certainty of the propensity or potential future risk of the identified 'Substance' to cause a reaction.,Decision support would typically raise alerts for 'Unconfirmed' and 'Confirmed' and ignore a 'Refuted' reaction. Clinical systems may choose not to display Adverse reaction entries with a 'Refuted' status in the Adverse Reaction List. However 'Refuted' may be useful for reconciliation of the adverse reaction list or when communicating between systems. Some implementations may choose to make this field mandatory. The free text data type will allow for local variation by enabling other value sets to be applied to this data element in a template - in this situation it is recommended that values should be coded using a terminology.,Assertion about certainty associated with the propensity or potential risk of a reaction to the identified substance (including pharmaceutical product).,0..1,CodedText," Unconfirmed local:at0064
 Confirmed local:at0065
 Refuted local:at0066
-Other Text/CodedText allowed",0..1,The codes SHALL be taken from AllergyIntoleranceVerificationStatusCodes (required to http://hl7.org/fhir/ValueSet/allergyintolerance-verification|4.0.1) Assertion about certainty associated with a propensity or potential risk of a reaction to the identified substance.,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[at0063]/value,AllergyIntolerance.verificationStatus,
,Criticality,criticality,An indication of the potential for critical system organ damage or life threatening consequence.,This can be regarded as a predictive judgement of a 'worst case scenario'. In most contexts 'Low' would be regarded as the default value.,Estimate of the potential clinical harm or seriousness of the reaction to the identified substance.,0..1,CodedText," Low local:at0102
 High local:at0103
 Indeterminate local:at0124
-Other Text/CodedText allowed",0..1,The codes SHALL be taken from AllergyIntoleranceCriticality (required to http://hl7.org/fhir/ValueSet/allergy-intolerance-criticality|4.0.1) Estimate of the potential clinical harm or seriousness of a reaction to an identified substance.,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[at0101]/value,AllergyIntolerance.criticality,
,Category,category,Category of the identified 'Substance'.,This data element has been included because it is currently being captured in some clinical systems. This data can be derived from the Substance where coding systems are used and is effectively redundant in that situation.,Category of the identified substance.,0..1,Text,,0..*,The codes SHALL be taken from AllergyIntoleranceCategory (required to http://hl7.org/fhir/ValueSet/allergy-intolerance-category|4.0.1) Category of an identified substance associated with allergies or intolerances.,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[at0120]/value,AllergyIntolerance.category,The openEHR valueset has been replaced in the template to match the FHIR valueset
,Onset of last reaction,lastOccurrence,The date and/or time of the onset of the last known occurrence of a reaction event.,For example: the actual date and/or time of onset; the interval of time during which the onset occurred; the age of the individual at the time of the onset; or the duration of time since the onset occurred. A partial date is valid using the DV_DATE_TIME data type to record only a year.,Represents the date and/or time of the last known occurrence of a reaction event.,0..1,DateTime,,0..1,,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[at0117]/value,AllergyIntolerance.lastOccurrence,
,Onset of first reaction,onset[x]:onsetDateTime,The onset of the first known occurrence of a reaction event.,,"Estimated or actual date, date-time, or age when allergy or intolerance was identified.",0..1,DateTime,,0..1,,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[at0133]/value,AllergyIntolerance.onset[x]:onsetDateTime,
,Onset of first reaction,onset[x]:onsetAge,The onset of the first known occurrence of a reaction event.,,"Estimated or actual date, date-time, or age when allergy or intolerance was identified.",0..1,Duration,,0..1,,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[at0133]/value,AllergyIntolerance.onset[x]:onsetAge,
,Onset of first reaction,onset[x]:onsetString,The onset of the first known occurrence of a reaction event.,,"Estimated or actual date, date-time, or age when allergy or intolerance was identified.",0..1,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[at0133]/value,AllergyIntolerance.onset[x]:onsetString,
,Onset of first reaction,onset[x]:onsetPeriod,The onset of the first known occurrence of a reaction event.,,"Estimated or actual date, date-time, or age when allergy or intolerance was identified.",0..1,Interval of DateTime,,0..1,,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[at0133]/value,AllergyIntolerance.onset[x]:onsetPeriod,
,Onset of first reaction,onset[x]:onsetRange,The onset of the first known occurrence of a reaction event.,,"Estimated or actual date, date-time, or age when allergy or intolerance was identified.",0..1,Interval of Duration,,0..1,,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[at0133]/value,AllergyIntolerance.onset[x]:onsetRange,
,Reaction mechanism,type,Identification of the underlying physiological mechanism for the adverse reaction.,"Immune-mediated responses have been traditionally regarded as an indicator for escalation of significant future risk. Contemporary knowledge suggests that some reactions previously thought to be immune are actually non-immune and still carry life threatening risk. 

Immunological testing may provide supporting evidence for the mechanism and causative substance  but no tests are 100% sensitive or specific for a sensitivity. 

It is acknowledged that most clinicians will NOT be able to distinguish the mechanism of any specific reaction. However this data element is included because many legacy systems have captured this attribute.",Identification of the underlying physiological mechanism for the reaction risk.,0..1,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[at0058]/value,AllergyIntolerance.type,The openEHR valueset has been replaced in the template to match the FHIR valueset
,Adverse reaction event,reaction,Information about a specific adverse reaction event caused by exposure to a specific substance.,,Details about each adverse reaction event linked to exposure to the identified substance.,0..*,Cluster,,0..*,,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[openEHR-EHR-CLUSTER.adverse_reaction_event.v1],AllergyIntolerance.reaction,
,Specific substance,reaction.substance,The substance considered to be responsible for the specific adverse reaction event.,For example: 'Amoxycillin'. Only an individual substance is a valid entry in 'Specific substance'. A substance may be a compound of simpler substances for example a medicinal product. If the 'Substance' recorded in the archetype in which this archetype is nested is an individual substance and not a substance class then it may be duplicated in this data element or this element may be redundant. It is strongly recommended that 'Specific substance' be coded with a terminology for example: RxNorm SNOMED CT DM+D NDFRT ICD-9 ICD-10 UNI ATC or CPT.,Identification of the specific substance (or pharmaceutical product) considered to be responsible for the Adverse Reaction event. Note: the substance for a specific reaction may be different from the substance identified as the cause of the risk but it must be consistent with it. For instance it may be a more specific substance (e.g. a brand medication) or a composite product that includes the identified substance. It must be clinically safe to only process the 'code' and ignore the 'reaction.substance'. If a receiving system is unable to confirm that AllergyIntolerance.reaction.substance falls within the semantic scope of AllergyIntolerance.code then the receiving system should ignore AllergyIntolerance.reaction.substance.,0..1,Text,,0..1,For example codes see eHDSI Allergen No Drug . (example to http://terminology.ehdsi.eu/ValueSet/eHDSIAllergenNoDrug),,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[openEHR-EHR-CLUSTER.adverse_reaction_event.v1]/items[at0001]/value,AllergyIntolerance.reaction.substance,
,Manifestation,reaction.manifestation,Clinical symptoms and/or signs that are observed or associated with the adverse reaction.,Manifestation can be expressed as a single word phrase or brief description. For example: nausea rash. 'No reaction' may be appropriate where a previous reaction has been noted but the reaction did not re-occur after further exposure. It is preferable that 'Manifestation' should be coded with a terminology where possible. The values entered here may be used to display on an application screen as part of a list of adverse reactions.,Clinical symptoms and/or signs that are observed or associated with the adverse reaction event.,1..*,CodedText, http://hl7.org/fhir/uv/ips/ValueSet/allergy-reaction-uv-ips,1..*,The codes SHOULD be taken from Allergy Reaction - IPS (preferred to http://hl7.org/fhir/uv/ips/ValueSet/allergy-reaction-uv-ips) Type of allergy or intolerance reaction expected to be used in MyHealth@EU,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[openEHR-EHR-CLUSTER.adverse_reaction_event.v1]/items[at0006]/value,AllergyIntolerance.reaction.manifestation,
,Reaction description,reaction.description,Narrative description about the adverse reaction as a whole including details of the manifestation if required.,,Text description about the reaction as a whole including details of the manifestation if required.,0..1,Text,,0..1,,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[openEHR-EHR-CLUSTER.adverse_reaction_event.v1]/items[at0007]/value,AllergyIntolerance.reaction.description,
,Onset of reaction,reaction.onset,The date and/or time of the onset of the reaction.,,Record of the date and/or time of the onset of the Reaction.,0..1,DateTime,,0..1,,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[openEHR-EHR-CLUSTER.adverse_reaction_event.v1]/items[at0008]/value,AllergyIntolerance.reaction.onset,
,Severity of reaction,reaction.severity,Clinical assessment of the severity of the reaction event as a whole potentially considering multiple different manifestations.,It is acknowledged that this assessment is very subjective. There may be some some specific practice domains where objective scales have been applied. Objective scales can be included in this model using the 'Reaction details' Cluster.,Clinical assessment of the severity of the reaction event as a whole potentially considering multiple different manifestations.,0..1,CodedText," Mild local:at0011
 Moderate local:at0012
 Severe local:at0013
-Other Text/CodedText allowed",0..1,The codes SHALL be taken from AllergyIntoleranceSeverity (required to http://hl7.org/fhir/ValueSet/reaction-event-severity|4.0.1) Clinical assessment of the severity of a reaction event as a whole potentially considering multiple different manifestations.,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[openEHR-EHR-CLUSTER.adverse_reaction_event.v1]/items[at0010]/value,AllergyIntolerance.reaction.severity,
,Route of exposure,reaction.exposureRoute,The route by which the subject was exposed to the identified 'Specific substance'.,Coding of the Route of Exposure with a terminology should be used wherever possible.,Identification of the route by which the subject was exposed to the substance.,0..1,Text,,0..1,For example codes see SNOMEDCTRouteCodes (example to http://hl7.org/fhir/ValueSet/route-codes|4.0.1) A coded concept describing the route or physiological path of administration of a therapeutic agent into or onto the body of a subject.,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[openEHR-EHR-CLUSTER.adverse_reaction_event.v1]/items[at0017]/value,AllergyIntolerance.reaction.exposureRoute,
,Comment,reaction.note,Additional narrative about the adverse reaction event not captured in other fields.,,Additional text about the adverse reaction event not captured in other fields.,0..1,Text,,0..*,,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[openEHR-EHR-CLUSTER.adverse_reaction_event.v1]/items[at0024]/value,AllergyIntolerance.reaction.note,Cardinality doesn't match
,Comment,note,Additional narrative about the propensity for the adverse reaction not captured in other fields.,For example: including reason for flagging a 'Criticality' of 'High risk'; and instructions related to future exposure or administration of the Substance such as administration within an Intensive Care Unit or under corticosteroid cover.,Additional narrative about the propensity for the Adverse Reaction not captured in other fields.,0..1,Text,,0..*,,,/items[openEHR-EHR-EVALUATION.adverse_reaction_risk.v2]/data[at0001]/items[at0006]/value,AllergyIntolerance.note,Cardinality doesn't match
